im_file,offset
../scratch/check_first_frames_with_cam_on/ch01_20181102180103.jpg,-1
../scratch/check_first_frames_with_cam_on/ch01_20181206180018.jpg,-1
../scratch/check_first_frames_with_cam_on/ch01_20181206182835.jpg,0
../scratch/check_first_frames_with_cam_on/ch01_20190103180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch01_20190103180633.jpg,0
../scratch/check_first_frames_with_cam_on/ch01_20190103180646.jpg,-1
../scratch/check_first_frames_with_cam_on/ch02_20181102190528.jpg,0
../scratch/check_first_frames_with_cam_on/ch02_20181206180000.jpg,-6
../scratch/check_first_frames_with_cam_on/ch02_20181206182345.jpg,-1
../scratch/check_first_frames_with_cam_on/ch02_20190103180000.jpg,-8
../scratch/check_first_frames_with_cam_on/ch02_20190103180646.jpg,-1
../scratch/check_first_frames_with_cam_on/ch03_20181102180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch03_20181206180000.jpg,-1
../scratch/check_first_frames_with_cam_on/ch03_20181206182355.jpg,-1
../scratch/check_first_frames_with_cam_on/ch03_20190103180048.jpg,0
../scratch/check_first_frames_with_cam_on/ch03_20190103180646.jpg,-1
../scratch/check_first_frames_with_cam_on/ch04_20181102190313.jpg,-1
../scratch/check_first_frames_with_cam_on/ch04_20181206180000.jpg,-4
../scratch/check_first_frames_with_cam_on/ch04_20181206182755.jpg,0
../scratch/check_first_frames_with_cam_on/ch04_20181206185613.jpg,-1
../scratch/check_first_frames_with_cam_on/ch04_20190103180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch04_20190103180646.jpg,-1
../scratch/check_first_frames_with_cam_on/ch05_20181102180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch05_20181102180912.jpg,-1
../scratch/check_first_frames_with_cam_on/ch05_20181206180000.jpg,-2
../scratch/check_first_frames_with_cam_on/ch05_20181206180842.jpg,0
../scratch/check_first_frames_with_cam_on/ch05_20181206183657.jpg,0
../scratch/check_first_frames_with_cam_on/ch05_20190103180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch05_20190103180643.jpg,0
../scratch/check_first_frames_with_cam_on/ch06_20181102180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch06_20181206180000.jpg,-2
../scratch/check_first_frames_with_cam_on/ch06_20181206182440.jpg,-1
../scratch/check_first_frames_with_cam_on/ch06_20190103180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch06_20190103180458.jpg,0
../scratch/check_first_frames_with_cam_on/ch06_20190103180643.jpg,0
../scratch/check_first_frames_with_cam_on/ch07_20181102185618.jpg,-1
../scratch/check_first_frames_with_cam_on/ch07_20181206180000.jpg,-2
../scratch/check_first_frames_with_cam_on/ch07_20181206181230.jpg,-1
../scratch/check_first_frames_with_cam_on/ch07_20181206184047.jpg,0
../scratch/check_first_frames_with_cam_on/ch07_20181206190903.jpg,-1
../scratch/check_first_frames_with_cam_on/ch07_20190103180000.jpg,-3
../scratch/check_first_frames_with_cam_on/ch07_20190103180646.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20181102183908.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20181102190725.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20181206180000.jpg,-2
../scratch/check_first_frames_with_cam_on/ch08_20181206180700.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20181206183515.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20181206190333.jpg,-1
../scratch/check_first_frames_with_cam_on/ch08_20190103180000.jpg,-4
../scratch/check_first_frames_with_cam_on/ch08_20190103180646.jpg,-1
